Company,Vehicle,Launchpad,Pad Longitude,Pad Latitude,Launch Angle,Launch Distance
SpaceX,SuperHeavy,"Orbital Launch Pad, Boca Chica",-97.15443,25.9961556,-0.2614507849080952,17756.038388254576
United Launch Alliance,Atlas V 411,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,21962.417547052133
Astra,Electron,"Pacific Spaceport Complex, Kodiak",-152.339556,57.435237,0.0,0.0
SpaceX,Falcon Heavy,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,0.0,0.0
NASA,SLS Block 1 Crew,"LC-39B, Kennedy Space Center",-80.620849,28.62731,-0.34119828885542736,18434.155140857583
United Launch Alliance,Atlas V 551,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,0.0,0.0
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,17645.772224850425
Northrop Grumman,Antares 230+,Mid-Atlantic Regional Spaceport,-75.4877202,37.8339798,-0.4646022035896058,17294.284189218597
United Launch Alliance,Atlas V 421,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,20093.264972818153
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14921.951938343322
United Launch Alliance,Atlas V Starliner,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,14555.993091820246
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,15080.96743938425
United Launch Alliance,Atlas V 401,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,19454.576786658035
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,17679.3323279545
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,21305.136717895388
United Launch Alliance,Atlas V 411,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,17222.94048076915
United Launch Alliance,Atlas V 551,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,19288.463315212048
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,2.8078860646320476,0.0
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,20704.76988492082
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,20703.189668380597
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17193.670181806003
Northrop Grumman,Antares 230+,Mid-Atlantic Regional Spaceport,-75.4877202,37.8339798,-0.4646022035896058,17276.575670476268
Northrop Grumman,Antares 230+,Mid-Atlantic Regional Spaceport,-75.4877202,37.8339798,-0.4646022035896058,17276.864232304255
United Launch Alliance,Atlas V 541,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,19318.366188872216
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20296.354866485904
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,20703.178609393824
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20705.493877164387
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14616.013768781348
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14928.509256442878
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,15009.806668692027
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,17130.80042638507
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17040.315749060872
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14615.488587614062
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14621.457261155183
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,8.166982651247788e-20,0.0
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14613.135600673151
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20295.019232720726
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,1.5474444137496615e-05,0.0
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14615.757948913459
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14607.269142746662
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14512.663436744806
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20061.345586099014
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14448.531537448189
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17389.480605144032
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19575.09952197735
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14380.160645659105
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14457.075636131389
United Launch Alliance,Atlas V 541,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,19287.204366211965
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20529.62501092271
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14453.9074894547
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20529.258760112607
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14445.764985836064
United Launch Alliance,Atlas V 421,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,20101.366498547544
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,18505.70642315573
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14445.963633458983
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14457.736807534766
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14453.90127088301
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20529.092148608688
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14453.969476196993
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14474.56070195946
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14454.01364400777
United Launch Alliance,Delta IV Heavy,"SLC-6, Vandenberg AFB",-120.6283407,34.581448,-0.27919009855148913,19017.59370479702
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20295.705608527707
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19584.293867960714
United Launch Alliance,Atlas V 541,"SLC-41, Cape Canaveral",-80.5828362,28.5834715,-0.34086388941701656,17725.669895190433
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14454.319867792456
SpaceX,Falcon Heavy,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,17448.55277078961
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19584.33045796233
Northrop Grumman,Antares 230+,Mid-Atlantic Regional Spaceport,-75.4877202,37.8339798,-0.4646022035896058,17251.817445443605
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19584.874149106494
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14523.053607048298
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19584.29553367402
Rocket Lab,Electron,"LC-2, Wallops Island",-75.4882321,37.8331751,-0.46459096732795063,15626.070461783864
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,17565.838960938825
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,17797.1119027186
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14509.529443329018
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17589.820243375747
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,17083.3760266507
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20663.231347239645
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,16632.349098620478
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,18137.165212119166
SpaceX,Falcon Heavy,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,18442.997389481276
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,-3.1280478562662726,0.0
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14418.9820608641
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,21060.670601694357
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20663.71515430248
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,20663.48873610449
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14979.95979313775
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23378.817271398402
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20431.979097117506
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20927.317844773585
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19012.695059242946
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20432.023330829146
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20432.332076130777
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20291.43083713055
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23377.061050282675
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20227.643723895224
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,18136.400945943155
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-3.141592653589793,14512.347167550188
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20927.015316804613
Relativity,Terran 1,"LC-2, Wallops Island",-80.5518,28.5017,-0.34008337363811525,16751.68794787044
Rocket Lab,Electron,"LC-2, Wallops Island",-75.4882321,37.8331751,-0.46459096732795063,15622.599124121378
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,2.8139530565539594,0.0
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20226.11886986873
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23378.38212963044
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23377.873176392513
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23377.880903616417
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17518.39377835057
SpaceX,SuperHeavy,"Orbital Launch Pad, Boca Chica",-97.15443,25.9961556,-0.2614507849080952,17924.726482032358
